YTRUE,YPREDICT
-431602080.000000,-270889440.000000
-431602080.000000,-366467776.000000
-431602080.000000,-311171968.000000
-431602080.000000,-323644896.000000
-431602080.000000,-461137088.000000
-431602080.000000,-234467232.000000
-431602080.000000,-294959456.000000
-431602080.000000,-243901152.000000
-431602080.000000,-412879104.000000
-431602080.000000,-456746176.000000
-431602080.000000,-339493728.000000
-431602080.000000,-301392160.000000
-431602080.000000,-361228288.000000
-431602080.000000,-541470336.000000
-431602080.000000,-500545696.000000
-431602080.000000,-445641760.000000
-431602080.000000,-259231712.000000
-431602080.000000,-223698272.000000
-431602080.000000,-347087936.000000
-431602080.000000,-565005888.000000
-431602080.000000,-496492448.000000
-431602080.000000,-188274608.000000
-431602080.000000,-323394528.000000
-431602080.000000,-628850368.000000
-431602080.000000,-506956736.000000
-431602080.000000,-121959320.000000
-431602080.000000,-517311168.000000
-431602080.000000,-379014464.000000
-431602080.000000,-190817856.000000
-431602080.000000,-204979648.000000
