YTRUE,YPREDICT
-431602080.000000,-1294804864.000000
-431602080.000000,-1294805248.000000
-431602080.000000,-1294804864.000000
-431602080.000000,-1294805248.000000
-431602080.000000,-1294806144.000000
-431602080.000000,-1294804480.000000
-431602080.000000,-1294804864.000000
-431602080.000000,-1294804480.000000
-431602080.000000,-1294805632.000000
-431602080.000000,-1294805760.000000
-431602080.000000,-1294805248.000000
-431602080.000000,-1294804992.000000
-431602080.000000,-1294805248.000000
-431602080.000000,-1294806528.000000
-431602080.000000,-1294806272.000000
-431602080.000000,-1294805888.000000
-431602080.000000,-1294804608.000000
-431602080.000000,-1294804608.000000
-431602080.000000,-1294805248.000000
-431602080.000000,-1294806656.000000
